overall_rank,player_name,position,recent_team,projected_ppg,projected_ppg_std,projected_ppg_half_ppr,projected_ppg_ppr,projected_ppg_superflex,reliability_tier,situation_score,career_seasons,tier,live_status,age,data_basis,draft_value_score,draft_value_score_std,draft_value_score_half_ppr,draft_value_score_ppr,avg_receptions_per_game,avg_targets_per_game,avg_carries_per_game,Injury_Flag,consensus_adp,adp_diff,consensus_adp_overall,consensus_adp_positional,our_positional_rank,adp_diff_positional,adp_diff_overall,adp_signal
157,Ray Davis,RB,BUF,6.09,,6.09,,6.09,UNPROVEN,59.6,1,Handcuff,,26.8,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,,,,,60,,,UNKNOWN
159,Ameer Abdullah,RB,JAX,6.05,,6.05,,6.05,UNPROVEN,56.4,1,Handcuff,,33.2,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,,,,,61,,,UNKNOWN
160,Sean Tucker,RB,TB,5.96,,5.96,,5.96,UNPROVEN,55.8,1,Handcuff,,24.9,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,,,,,62,,,UNKNOWN
161,Roschon Johnson,RB,CHI,5.94,,5.94,,5.94,UNPROVEN,52.3,1,Handcuff,,25.6,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,,,,,63,,,UNKNOWN
167,Devin Singletary,RB,NYG,5.74,,5.74,,5.74,UNPROVEN,58.3,1,Handcuff,,29.0,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,,,,,64,,,UNKNOWN
168,Emanuel Wilson,RB,SEA,5.72,,5.72,,5.72,UNPROVEN,56.6,1,Handcuff,,27.3,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,,,,,65,,,UNKNOWN
178,Jaleel McLaughlin,RB,DEN,5.65,,5.65,,5.65,UNPROVEN,51.3,1,Handcuff,,26.0,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,,,,,66,,,UNKNOWN
182,Ty Johnson,RB,BUF,5.54,,5.54,,5.54,UNPROVEN,51.6,1,Handcuff,,29.0,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,,,,,67,,,UNKNOWN
183,Isaiah Davis,RB,NYJ,5.48,,5.48,,5.48,UNPROVEN,50.8,1,Handcuff,,24.5,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,,,,,68,,,UNKNOWN
186,Braelon Allen,RB,NYJ,5.42,,5.42,,5.42,UNPROVEN,42.8,1,Handcuff,,22.6,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,148.1,-37.900000000000006,148.1,47.0,69,-22.0,-37.900000000000006,FADE
